word,type_name
accumulative,adjective
accumulator,noun
accumulators,noun
accuracy,noun
accurate,adjective
accurately,adjective
accurse,verb
accursed,verb
accursed,adjective
accurses,verb
accursing,verb
accurst,verb
accusation,noun
accusations,noun
accusative,noun
accusatorial,adjective
accusatory,adjective
accuse,verb
accused,verb
accuser,noun
accusers,noun
accuses,verb
accusing,verb
accusingly,adverb
accustom,verb
accustomed,adjective
accustomed,verb
accustoming,verb
accustoms,verb
ace,noun
ACE inhibitor,noun
ace of clubs,noun
ace of diamonds,noun
ace of hearts,noun
ace of spades,noun
acebutolol,noun
acentric,adjective
acentric chromosome,noun
acephalia,noun
acephalous,adjective
Acer,noun
Acer,noun
Aceraceae,noun
acerate,adjective
acerate leaf,noun
acerb,adjective
acerbate,verb
acerbated,verb
acerbating,verb
acerbic,adjective
acerbity,noun
acerola,noun
acervate,adjective
acervulus,noun
aces,noun
acetabular,adjective
acetabulum,noun
acetal,noun
acetaldehyde,noun
acetaldol,noun
acetamide,noun
acetaminophen,noun
acetanilide,noun
acetate,noun
acetate disk,noun
acetate rayon,noun
acetic,noun
acetic acid,noun
acetic anhydride,noun
acetin,noun
acetoacetic acid,noun
acetone,noun
acetonic,adjective
acetophenetidin,noun
acetose,adjective
acetum,noun
acetyl,noun
acetyl chloride,noun
acetylate,verb
acetylated,verb
acetylating,verb
acetylation,noun
acetylcholine,noun
acetylene,noun
acetylenic,adjective
acetylic,adjective
Achaea,noun
Achaean,noun
ache,noun
ache—it,verb
ached,noun
achene,noun
achenial,adjective
Acheron,noun
Acheronian,adjective
aches,noun
Acheson,noun
Acheson process,noun
Acheta,noun
achievability,noun
achieve,verb
achieved,verb
achievement,noun
achievements,noun
achiever,noun
achieves,verb
achieving,verb
achillea,noun
achilles,noun
Achilles tendon,noun
Achilles’,noun
achimenes,noun
aching,noun
achira,noun
achlamydeous,adjective
achlorhydria,noun
achlorhydric,adjective
Achoerodus,noun
acholia,noun
Achomawi,noun
achondrite,noun
achondritic,adjective
achondroplasia,noun
achondroplastic,adjective
Achras,noun
achromatic,adjective
achromatic color,noun
achromatic lens,noun
achromatic vision,noun
achromatin,noun
achromatinic,adjective
achromatize,verb
achromatous,adjective
achromia,noun
achromic,adjective
achylia,noun
acicula,noun
aciculate,adjective
acid,noun
acid dye,noun
acid head,noun
acid rain,noun
